순위,곡정보,가수,좋아요,이미지 링크
37,사랑은 늘 도망가,임영웅,"226,492",https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg/melon/resize/120/quality/80/optimize
38,첫 만남은 계획대로 되지 않아,TWS (투어스),"159,663",https://cdnimg.melon.co.kr/cm2/album/images/113/91/902/11391902_20240122132041_500.jpg/melon/resize/120/quality/80/optimize
39,청혼하지 않을 이유를 못 찾았어,이무진,"54,736",https://cdnimg.melon.co.kr/cm2/album/images/114/55/285/11455285_20240401151801_500.jpg/melon/resize/120/quality/80/optimize
40,Love wins all,아이유,"209,276",https://cdnimg.melon.co.kr/cm2/album/images/114/04/142/11404142_20240220141548_500.jpg/melon/resize/120/quality/80/optimize
41,UP (KARINA Solo),aespa,"110,158",https://cdnimg.melon.co.kr/cm2/album/images/116/10/170/11610170_20241008143002_500.jpg/melon/resize/120/quality/80/optimize
42,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),"148,305",https://cdnimg.melon.co.kr/cm2/album/images/113/05/759/11305759_20230814111006_500.jpg/melon/resize/120/quality/80/optimize
43,내 이름 맑음,QWER,"94,238",https://cdnimg.melon.co.kr/cm2/album/images/115/80/909/11580909_20240923131754_500.jpg/melon/resize/120/quality/80/optimize
44,고민중독,QWER,"144,674",https://cdnimg.melon.co.kr/cm2/album/images/114/54/681/11454681_20240328174504_500.jpg/melon/resize/120/quality/80/optimize
45,The Chase,Hearts2Hearts (하츠투하츠),"31,340",https://cdnimg.melon.co.kr/cm2/album/images/117/20/981/11720981_20250221140928_500.jpg/melon/resize/120/quality/80/optimize
46,Magnetic,아일릿(ILLIT),"132,577",https://cdnimg.melon.co.kr/cm2/album/images/114/50/069/11450069_20240325110702_500.jpg/melon/resize/120/quality/80/optimize
47,너의 모든 순간,성시경,"308,321",https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/120/quality/80/optimize
48,사랑인가 봐,멜로망스,"223,909",https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg/melon/resize/120/quality/80/optimize
49,비의 랩소디,임재현,"100,257",https://cdnimg.melon.co.kr/cm2/album/images/113/76/816/11376816_20231201120653_500.jpg/melon/resize/120/quality/80/optimize
50,HANDS UP,MEOVV (미야오),"8,876",https://cdnimg.melon.co.kr/cm2/album/images/117/89/552/11789552_20250512154752_500.jpg/melon/resize/120/quality/80/optimize
51,에피소드,이무진,"125,942",https://cdnimg.melon.co.kr/cm2/album/images/113/82/987/11382987_20231212165916_500.jpg/melon/resize/120/quality/80/optimize
52,How Sweet,NewJeans,"150,192",https://cdnimg.melon.co.kr/cm2/album/images/114/75/749/11475749_20240524105642_500.jpg/melon/resize/120/quality/80/optimize
53,이렇게 좋아해 본 적이 없어요,BOYNEXTDOOR,"49,474",https://cdnimg.melon.co.kr/cm2/album/images/117/37/028/11737028_20250313164949_500.jpg/melon/resize/120/quality/80/optimize
54,주저하는 연인들을 위해,잔나비,"440,897",https://cdnimg.melon.co.kr/cm/album/images/102/60/858/10260858_500.jpg/melon/resize/120/quality/80/optimize
55,Supersonic,프로미스나인,"78,760",https://cdnimg.melon.co.kr/cm2/album/images/115/64/698/11564698_20240812100922_500.jpg/melon/resize/120/quality/80/optimize
56,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"437,251",https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg/melon/resize/120/quality/80/optimize
57,I AM,IVE (아이브),"229,377",https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize
58,나는 아픈 건 딱 질색이니까,i-dle (아이들),"168,967",https://cdnimg.melon.co.kr/cm2/album/images/114/02/655/11402655_20240129121016_500.jpg/melon/resize/120/quality/80/optimize
59,우리들의 블루스,임영웅,"115,851",https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize
60,다정히 내 이름을 부르면,경서예지,"212,843",https://cdnimg.melon.co.kr/cm2/album/images/106/10/525/10610525_20210518143433_500.jpg/melon/resize/120/quality/80/optimize
